Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Total cost / 12000 miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],,,,,,,
RENAULT,"Clio Euro6, 2015",Energy dCi 90 S/S ECO,M5,1461,Diesel,,,,,3.3,3.1,3.2,86.6,91.1,88.3,82,£760,,£760,6,72.3,158,,33,60,0.08,,,,,,,
RENAULT,"Clio Sport Tourer Euro6, 2015",dCi 90 S/S,M5,1461,Diesel,,,,,3.5,3.1,3.3,80.7,91.1,85.6,85,£784,,£784,6,72.3,158,,33,60,0.08,,,,,,,
RENAULT,"Clio Sport Tourer Euro6, 2015",Energy dCi 90 S/S ECO,M5,1461,Diesel,,,,,3.4,3.1,3.2,83.1,91.1,88.3,84,£760,,£760,6,72.3,158,,33,60,0.08,,,,,,,
SKODA,Octavia Estate,1.6 TDI 110PS Stop-Start GreenLine with 16'' wheels,M6,1598,Diesel,,,,,3.9,3.2,3.5,72.4,88.3,80.7,90,£831,,£831,6,72.0,116,,54,88,0.00,,,,,,,
SKODA,Octavia Hatchback,1.6 TDI 110PS Stop-Start GreenLine with 16'' wheels,M6,1598,Diesel,,,,,3.9,3.2,3.5,72.4,88.3,80.7,90,£831,,£831,6,72.0,116,,54,88,0.00,,,,,,,
TOYOTA,"Auris, MY2017",1.4 D-4D 6-speed Manual with 15'' alloy wheels,6MT,1364,Diesel,,,,,3.9,3.1,3.4,72.4,91.1,83.1,89,£807,,£807,6,68.0,54,,57,77,0.00,,,,,,,
VAUXHALL,"Corsa 3 Door Hatchback, Model Year 2015","1.3 CDTi 95PS SRi VX-Line Stop/Start ecoFLEX with 15'', 16'' and 17'' wheels",M5,1248,Diesel,,,,,3.7,3.0,3.3,76.3,94.2,85.6,87,£784,,£784,6,73.0,141,,64,84,0.27,,,,,,,
VAUXHALL,"Corsa 3 Door Hatchback, Model Year 2016","1.3 CDTi 95PS SRi VX-Line ecoFLEX Stop/Start with 15'', 16'' and 17'' wheels",M5,1248,Diesel,,,,,3.7,3.0,3.3,76.3,94.2,85.6,87,£784,,£784,6,73.0,141,,64,84,0.27,,,,,,,
VAUXHALL,"Corsa 5 Door Hatchback, Model Year 2015",1.3 CDTi 95PS SE Stop/Start ecoFLEX with 16'' wheels,M5,1248,Diesel,,,,,3.8,3.0,3.3,74.3,94.2,85.6,87,£784,,£784,6,73.0,141,,64,84,0.27,,,,,,,
VAUXHALL,"Corsa 5 Door Hatchback, Model Year 2015",1.3 CDTi 95PS SRi VX-Line Start/Stop ecoFLEX,M5,1248,Diesel,,,,,3.8,3.1,3.4,74.3,91.1,83.1,89,£807,,£807,6,73.0,141,,64,84,0.30,,,,,,,
VAUXHALL,"Corsa 5 Door Hatchback, Model Year 2016",1.3 CDTi 95PS Design ecoFLEX Stop/Start with 15'' and 16'' wheels,M5,1248,Diesel,,,,,3.7,3.0,3.3,76.3,94.2,85.6,87,£784,,£784,6,73.0,141,,64,84,0.27,,,,,,,
VOLVO,V40 MY17,D2,6MT,1969,Diesel,,,,,3.8,3.1,3.4,74.3,88.3,83.1,89,£807,,£807,6,73.0,117,,53,66,0.52,,,,,,,
ALFA ROMEO,Giulietta,1.6 JTDm-2 (MY 2015),M6,1598,Diesel,,,,,4.7,3.2,3.8,60.1,88.3,74.3,99,£903,,£903,6,72.0,251,,21,79,0.50,,,,,,,
ALFA ROMEO,Giulietta,1.6 JTDm-2 120 (MY 2016),SAT6,1598,Diesel,,,,,4.7,3.2,3.8,60.1,88.3,74.3,99,£903,,£903,6,74.0,117,,62,89,0.30,,,,,,,
AUDI,A1,1.6 TDI 116PS 15'' wheels,M5,1598,Diesel,,,,,4.5,3.2,3.7,62.8,88.3,76.3,97,£879,,£879,6,72.0,109,,36,73,0.00,,,,,,,
AUDI,A1,1.6 TDI 116PS 16'' wheels,M5,1598,Diesel,,,,,4.5,3.2,3.7,62.8,88.3,76.3,97,£879,,£879,6,72.0,109,,36,73,0.00,,,,,,,
